ref_id,date,party,recommendation
224,7 février 1971,PRD,oui
224,7 février 1971,PDC,oui
224,7 février 1971,PS,oui
224,7 février 1971,UDC,oui
224,7 février 1971,PLS,oui
224,7 février 1971,AdI,oui
224,7 février 1971,PEV,oui
224,7 février 1971,PCS,none
224,7 février 1971,PST,oui
224,7 février 1971,POCH,none
224,7 février 1971,PES,none
224,7 février 1971,DS,none
224,7 février 1971,Rep.,none
224,7 février 1971,UDF,none
224,7 février 1971,PSL,none
224,7 février 1971,Lega,none
225,6 juin 1971,PRD,oui
225,6 juin 1971,PDC,oui
225,6 juin 1971,PS,oui
225,6 juin 1971,UDC,oui
225,6 juin 1971,PLS,oui
225,6 juin 1971,AdI,oui
225,6 juin 1971,PEV,oui
225,6 juin 1971,PCS,none
225,6 juin 1971,PST,oui
225,6 juin 1971,POCH,none
225,6 juin 1971,PES,none
225,6 juin 1971,DS,oui
225,6 juin 1971,Rep.,none
225,6 juin 1971,UDF,none
225,6 juin 1971,PSL,none
225,6 juin 1971,Lega,none
226,6 juin 1971,PRD,oui
226,6 juin 1971,PDC,oui
226,6 juin 1971,PS,oui
226,6 juin 1971,UDC,oui
226,6 juin 1971,PLS,oui
226,6 juin 1971,AdI,non
226,6 juin 1971,PEV,non
226,6 juin 1971,PCS,none
226,6 juin 1971,PST,non
226,6 juin 1971,POCH,none
226,6 juin 1971,PES,none
226,6 juin 1971,DS,none
226,6 juin 1971,Rep.,none
226,6 juin 1971,UDF,none
226,6 juin 1971,PSL,none
226,6 juin 1971,Lega,none
227.1,5 mars 1972,PRD,non
227.1,5 mars 1972,PDC,non
227.1,5 mars 1972,PS,non
227.1,5 mars 1972,UDC,non
227.1,5 mars 1972,PLS,non
227.1,5 mars 1972,AdI,non
227.1,5 mars 1972,PEV,non
227.1,5 mars 1972,PCS,none
227.1,5 mars 1972,PST,non
227.1,5 mars 1972,POCH,none
227.1,5 mars 1972,PES,none
227.1,5 mars 1972,DS,oui
227.1,5 mars 1972,Rep.,non
227.1,5 mars 1972,UDF,none
227.1,5 mars 1972,PSL,none
227.1,5 mars 1972,Lega,none
227.2,5 mars 1972,PRD,none
227.2,5 mars 1972,PDC,none
227.2,5 mars 1972,PS,none
227.2,5 mars 1972,UDC,none
227.2,5 mars 1972,PLS,none
227.2,5 mars 1972,AdI,none
227.2,5 mars 1972,PEV,none
227.2,5 mars 1972,PCS,none
227.2,5 mars 1972,PST,none
227.2,5 mars 1972,POCH,none
227.2,5 mars 1972,PES,none
227.2,5 mars 1972,DS,none
227.2,5 mars 1972,Rep.,none
227.2,5 mars 1972,UDF,none
227.2,5 mars 1972,PSL,none
227.2,5 mars 1972,Lega,none
228,5 mars 1972,PRD,oui
228,5 mars 1972,PDC,oui
228,5 mars 1972,PS,oui
228,5 mars 1972,UDC,oui
228,5 mars 1972,PLS,oui
228,5 mars 1972,AdI,oui
228,5 mars 1972,PEV,oui
228,5 mars 1972,PCS,none
228,5 mars 1972,PST,oui
228,5 mars 1972,POCH,none
228,5 mars 1972,PES,none
228,5 mars 1972,DS,oui
228,5 mars 1972,Rep.,oui
228,5 mars 1972,UDF,none
228,5 mars 1972,PSL,none
228,5 mars 1972,Lega,none
229,24 octobre 1972,PRD,oui
229,24 octobre 1972,PDC,oui
229,24 octobre 1972,PS,oui
229,24 octobre 1972,UDC,oui
229,24 octobre 1972,PLS,oui
229,24 octobre 1972,AdI,non
229,24 octobre 1972,PEV,oui
229,24 octobre 1972,PCS,none
229,24 octobre 1972,PST,oui
229,24 octobre 1972,POCH,none
229,24 octobre 1972,PES,none
229,24 octobre 1972,DS,oui
229,24 octobre 1972,Rep.,oui
229,24 octobre 1972,UDF,none
229,24 octobre 1972,PSL,none
229,24 octobre 1972,Lega,none
230,24 octobre 1972,PRD,oui
230,24 octobre 1972,PDC,oui
230,24 octobre 1972,PS,oui
230,24 octobre 1972,UDC,oui
230,24 octobre 1972,PLS,oui
230,24 octobre 1972,AdI,oui
230,24 octobre 1972,PEV,oui
230,24 octobre 1972,PCS,none
230,24 octobre 1972,PST,oui
230,24 octobre 1972,POCH,none
230,24 octobre 1972,PES,none
230,24 octobre 1972,DS,non
230,24 octobre 1972,Rep.,non
230,24 octobre 1972,UDF,none
230,24 octobre 1972,PSL,none
230,24 octobre 1972,Lega,none
231,24 octobre 1972,PRD,non
231,24 octobre 1972,PDC,non
231,24 octobre 1972,PS,oui
231,24 octobre 1972,UDC,non
231,24 octobre 1972,PLS,non
231,24 octobre 1972,AdI,oui
231,24 octobre 1972,PEV,non
231,24 octobre 1972,PCS,none
231,24 octobre 1972,PST,oui
231,24 octobre 1972,POCH,none
231,24 octobre 1972,PES,none
231,24 octobre 1972,DS,liberté de vote
231,24 octobre 1972,Rep.,non
231,24 octobre 1972,UDF,none
231,24 octobre 1972,PSL,none
231,24 octobre 1972,Lega,none
232.1,3 décembre 1972,PRD,non
232.1,3 décembre 1972,PDC,non
232.1,3 décembre 1972,PS,non
232.1,3 décembre 1972,UDC,non
232.1,3 décembre 1972,PLS,non
232.1,3 décembre 1972,AdI,non
232.1,3 décembre 1972,PEV,non
232.1,3 décembre 1972,PCS,none
232.1,3 décembre 1972,PST,oui
232.1,3 décembre 1972,POCH,none
232.1,3 décembre 1972,PES,none
232.1,3 décembre 1972,DS,liberté de vote
232.1,3 décembre 1972,Rep.,non
232.1,3 décembre 1972,UDF,none
232.1,3 décembre 1972,PSL,none
232.1,3 décembre 1972,Lega,none
232.2,3 décembre 1972,PRD,none
232.2,3 décembre 1972,PDC,none
232.2,3 décembre 1972,PS,none
232.2,3 décembre 1972,UDC,none
232.2,3 décembre 1972,PLS,none
232.2,3 décembre 1972,AdI,none
232.2,3 décembre 1972,PEV,none
232.2,3 décembre 1972,PCS,none
232.2,3 décembre 1972,PST,none
232.2,3 décembre 1972,POCH,none
232.2,3 décembre 1972,PES,none
232.2,3 décembre 1972,DS,none
232.2,3 décembre 1972,Rep.,none
232.2,3 décembre 1972,UDF,none
232.2,3 décembre 1972,PSL,none
232.2,3 décembre 1972,Lega,none
233,3 décembre 1972,PRD,oui
233,3 décembre 1972,PDC,oui
233,3 décembre 1972,PS,oui
233,3 décembre 1972,UDC,oui
233,3 décembre 1972,PLS,oui
233,3 décembre 1972,AdI,oui
233,3 décembre 1972,PEV,oui
233,3 décembre 1972,PCS,none
233,3 décembre 1972,PST,non
233,3 décembre 1972,POCH,none
233,3 décembre 1972,PES,none
